Date,Close/Last,Volume,Open,High,Low
04/23/2021,$261.15,21499290,$257.88,$261.51,$257.27
04/22/2021,$257.17,25606150,$260.21,$261.78,$255.64
04/21/2021,$260.58,24030380,$258.94,$260.68,$257.25
04/20/2021,$258.26,19722880,$257.82,$260.2,$256.84
04/19/2021,$258.74,23209260,$260.19,$261.48,$257.821
04/16/2021,$260.74,24878580,$259.47,$261,$257.6014
04/15/2021,$259.5,25627480,$257.931,$259.93,$257.73
04/14/2021,$255.59,23070940,$257.475,$258.83,$255.16
04/13/2021,$258.49,23837470,$257.257,$259.19,$256.83
04/12/2021,$255.91,27148670,$254.71,$257.67,$254.62
04/09/2021,$255.85,24326830,$252.87,$255.99,$252.44
04/08/2021,$253.25,23625200,$252.77,$254.139,$252
04/07/2021,$249.9,22719840,$247.81,$250.93,$247.19
04/06/2021,$247.86,22931920,$247.61,$249.4,$246.88
04/05/2021,$249.07,36910610,$242.76,$249.96,$242.7
04/01/2021,$242.35,30337980,$238.47,$242.84,$238.0501
03/31/2021,$235.77,43623470,$232.91,$239.1,$232.39
03/30/2021,$231.85,24792010,$233.525,$233.85,$231.1
03/29/2021,$235.24,25227460,$236.59,$236.8,$231.88
03/26/2021,$236.48,25479850,$231.55,$236.71,$231.55
03/25/2021,$232.34,34061850,$235.3,$236.94,$231.57
03/24/2021,$235.46,25620130,$237.845,$238,$235.32
03/23/2021,$237.58,31638380,$237.485,$241.05,$237.07
03/22/2021,$235.99,30127010,$230.27,$236.9,$230.14
03/19/2021,$230.35,46430730,$231.02,$232.474,$229.3496
03/18/2021,$230.72,34852250,$232.56,$234.19,$230.33
03/17/2021,$237.04,29562100,$236.15,$238.55,$233.23
03/16/2021,$237.71,28092200,$236.28,$240.055,$235.94
03/15/2021,$234.81,26042670,$234.96,$235.185,$231.81
03/12/2021,$235.75,22653660,$234.01,$235.82,$233.23
03/11/2021,$237.13,29907590,$234.96,$239.17,$234.31
03/10/2021,$232.42,29746810,$237,$237,$232.04
03/09/2021,$233.78,33080530,$232.88,$235.3839,$231.67
03/08/2021,$227.39,35267440,$231.37,$233.365,$227.13
03/05/2021,$231.6,41872770,$229.517,$233.27,$226.46
03/04/2021,$226.73,44727790,$226.735,$232.49,$224.26
03/03/2021,$227.56,34029530,$232.155,$233.5799,$227.26
03/02/2021,$233.87,22812460,$237.01,$237.3,$233.45
03/01/2021,$236.94,25332840,$235.9,$237.47,$233.15
02/26/2021,$232.38,37819230,$231.525,$235.37,$229.54
02/25/2021,$228.99,39542240,$232.08,$234.5852,$227.88
02/24/2021,$234.55,26339750,$230.01,$235.2,$229
02/23/2021,$233.27,30228700,$230.325,$234.83,$228.73
02/22/2021,$234.51,36446940,$237.42,$237.93,$232.4
02/19/2021,$240.97,25262600,$243.75,$243.86,$240.18
02/18/2021,$243.79,16925560,$241.8,$243.93,$240.86
02/17/2021,$244.2,21673110,$241.32,$244.31,$240.94
02/16/2021,$243.7,26728490,$245.03,$246.13,$242.92
02/12/2021,$244.99,16561080,$243.933,$245.3,$242.73
02/11/2021,$244.49,15751060,$244.78,$245.15,$242.15
02/10/2021,$242.82,22186710,$245,$245.92,$240.89
02/09/2021,$243.77,23564950,$241.87,$244.76,$241.38
02/08/2021,$242.47,22211930,$243.15,$243.68,$240.81
02/05/2021,$242.2,18054750,$242.23,$243.28,$240.42
02/04/2021,$242.01,25296100,$242.66,$243.2399,$240.37
02/03/2021,$243,27158100,$239.57,$245.09,$239.26
02/02/2021,$239.51,25916340,$241.3,$242.31,$238.69
02/01/2021,$239.65,33314190,$235.06,$242.5,$232.43
01/29/2021,$231.96,42503140,$235.99,$238.02,$231.35
