Date,Close/Last,Volume,Open,High,Low
04/23/2021,$51.91,14017740,$51.5035,$52.13,$51.1773
04/22/2021,$51.5,15564760,$51.81,$52.0865,$51.38
04/21/2021,$51.93,14015530,$51.84,$52.07,$51.48
04/20/2021,$51.79,21257480,$52.59,$52.79,$51.595
04/19/2021,$52.85,20245610,$52.525,$52.96,$52.49
04/16/2021,$52.8,28327910,$52.45,$53.18,$52.26
04/15/2021,$51.64,17869820,$51.76,$51.94,$51.37
04/14/2021,$51.37,15376590,$51.51,$51.68,$51.14
04/13/2021,$51.66,13353170,$51.64,$51.88,$51.34
04/12/2021,$51.57,16441730,$52.07,$52.16,$51.47
04/09/2021,$52.09,13135750,$51.83,$52.15,$51.675
04/08/2021,$51.91,15111250,$51.94,$52,$51.45
04/07/2021,$51.77,15783650,$52.01,$52.14,$51.58
04/06/2021,$52.025,15126110,$51.98,$52.22,$51.78
04/05/2021,$52.41,19860910,$51.628,$52.92,$51.628
04/01/2021,$51.98,17896170,$51.75,$52.07,$51.35
03/31/2021,$51.71,22212380,$51.83,$52.05,$51.545
03/30/2021,$51.77,22465100,$52.11,$52.29,$51.175
03/29/2021,$52.52,25032760,$52.4008,$52.9399,$52.28
03/26/2021,$52.57,31996950,$50.6,$52.64,$50.56
03/25/2021,$50.51,34537720,$50.575,$51.4,$50.285
03/24/2021,$49.65,26444740,$49.94,$50.4454,$49.62
03/23/2021,$50.01,28328170,$50.02,$50.68,$49.9
03/22/2021,$50.3,28813880,$48.94,$50.38,$48.94
03/19/2021,$48.98,65366840,$48.71,$49.22,$48.32
03/18/2021,$48.8,18417640,$48.52,$49.57,$48.515
03/17/2021,$49.42,18326920,$49.61,$49.61,$48.89
03/16/2021,$49.67,17282260,$49.19,$49.74,$49.19
03/15/2021,$49.41,15526110,$48.9,$49.44,$48.9
03/12/2021,$48.82,15196530,$48.81,$48.99,$48.47
03/11/2021,$48.8,21976560,$48.51,$49.08,$48.225
03/10/2021,$48.29,19841510,$48.47,$48.79,$48.19
03/09/2021,$47.89,26512660,$47.824,$48.37,$47.72
03/08/2021,$47.51,34824530,$46.24,$48.4,$46.2
03/05/2021,$46.25,33197580,$45.446,$46.74,$45.27
03/04/2021,$44.56,24653500,$45.135,$45.47,$44.15
03/03/2021,$45.13,16851130,$45.43,$45.53,$45
03/02/2021,$45.515,14832970,$45.931,$46.08,$45.415
03/01/2021,$45.92,17396070,$45.22,$46.22,$45.22
02/26/2021,$44.87,22144950,$45.58,$45.78,$44.76
02/25/2021,$45.52,21916720,$45.585,$46.24,$45.24
02/24/2021,$45.74,17823650,$45.24,$45.8,$45.035
02/23/2021,$45.51,19714930,$45.26,$45.78,$45.1
02/22/2021,$45.43,21435790,$45.29,$45.68,$44.82
02/19/2021,$45.68,25117700,$46.54,$46.61,$45.58
02/18/2021,$46.34,16867520,$46.39,$46.4,$45.69
02/17/2021,$46.25,13301380,$46.315,$46.4,$45.865
02/16/2021,$46.51,18539030,$47.26,$47.26,$46.4
02/12/2021,$47.29,15239820,$47.425,$47.69,$46.91
02/11/2021,$47.58,18589910,$47.349,$47.91,$47.1978
02/10/2021,$47.24,44540880,$46.15,$47.41,$45.83
02/09/2021,$48.5,24795020,$48.766,$48.8317,$48.41
02/08/2021,$48.94,25215440,$48.56,$49.34,$48.56
02/05/2021,$48.08,25488560,$47.57,$48.34,$47.5
02/04/2021,$47.25,22285660,$45.87,$47.32,$45.77
02/03/2021,$45.77,13173640,$45.75,$46.16,$45.54
02/02/2021,$45.83,16520930,$45.52,$45.94,$45.43
02/01/2021,$45.4,16776850,$44.92,$45.625,$44.66
01/29/2021,$44.58,22608100,$44.85,$45.37,$44.48
01/28/2021,$45.34,21166030,$45.914,$46.27,$45.3
01/27/2021,$45.7,29634490,$45.24,$46.46,$45.08
01/26/2021,$45.26,13087750,$44.885,$45.35,$44.77
01/25/2021,$45.03,16581260,$45.04,$45.17,$44.71
01/22/2021,$44.77,14643420,$44.75,$44.885,$44.23
01/21/2021,$45.11,17495890,$45.2,$45.235,$44.72
01/20/2021,$45.34,16499410,$45.33,$45.5,$45.14
01/19/2021,$45.19,28868850,$45.33,$45.63,$44.77
01/15/2021,$45.43,30271670,$44.96,$45.65,$44.88
01/14/2021,$45.15,22333480,$44.87,$45.6,$44.85
01/13/2021,$45.36,19367270,$45.29,$45.965,$45.18
01/12/2021,$45.79,20145040,$45.3,$45.925,$44.96
01/11/2021,$45.36,25062260,$45.15,$45.95,$45.02
01/08/2021,$45.06,20936280,$44.48,$45.41,$44.25
01/07/2021,$44.96,18218760,$44.2,$45.105,$44.1659
01/06/2021,$44.4,21823110,$44.13,$44.87,$43.89
01/05/2021,$43.98,17763660,$43.68,$44.07,$43.38
01/04/2021,$43.96,24392540,$44.31,$44.37,$43.35
12/31/2020,$44.75,15105480,$44.38,$44.84,$44.16
12/30/2020,$44.48,11043110,$44.74,$45.06,$44.44
12/29/2020,$44.64,11828960,$44.97,$45.245,$44.53
12/28/2020,$44.92,13458430,$44.93,$45.34,$44.72
12/24/2020,$44.54,5720538,$44.45,$44.59,$44.23
12/23/2020,$44.375,12032640,$44.65,$44.8029,$44.35
12/22/2020,$44.69,16031550,$44.44,$45.07,$44.44
12/21/2020,$44.88,19865300,$44.47,$44.955,$44.065
12/18/2020,$45.44,41026970,$44.9,$45.57,$44.77
12/17/2020,$44.82,16141600,$44.91,$44.93,$44.6
12/16/2020,$44.72,16191980,$44.695,$45.14,$44.525
12/15/2020,$44.72,18165250,$44.39,$44.795,$44.135
12/14/2020,$44.24,16112330,$44.27,$44.91,$44.15
12/11/2020,$44.32,14577710,$43.94,$44.33,$43.72
12/10/2020,$44.32,17741490,$44.54,$44.605,$44.11
12/09/2020,$44.69,22679750,$44.47,$44.83,$44.36
12/08/2020,$44.37,13348460,$44.206,$44.525,$43.93
12/07/2020,$44.35,14086830,$44.287,$44.49,$43.91
